time,rpm,speed
0.1,0,0
0.2,0,0
0.3,0,0
0.4,0,0
0.5,0,0
0.6,0,0
0.7,0,0
0.8,0,0
0.9,0,0
1,0,0
1.1,0,0
1.2,0,0
1.3,0,0
1.4,0,0
1.5,0,0
1.6,0,0
1.7,0,0
1.8,0,0
1.9,0,0
2,0,0
2.1,0,0
2.2,0,0
2.3,0,0
2.4,0,0
2.5,0,0
2.6,0,0
2.7,0,0
2.8,0,0
2.9,0,0
3,0,0
3.1,0,0
3.2,0,0
3.3,0,0
3.4,0,0
3.5,0,0
3.6,0,0
3.7,0,0
3.8,0,0
3.9,0,0
4,0,0
4.1,0,0
4.2,0,0
4.3,0,0
4.4,0,0
4.5,0,0
4.6,0,0
4.7,0,0
4.8,0,0
4.9,0,0
5,0,0
5.1,0,0
5.2,0,0
5.3,0,0
5.4,0,0
5.5,0,0
5.6,0,0
5.7,0,0
5.8,0,0
5.9,0,0
6,0,0
6.1,0,0
6.2,0,0
6.3,0,0
6.4,0,0
6.5,0,0
6.6,0,0
6.7,0,0
6.8,0,0
6.9,0,0
7,0,0
7.1,0,0
7.2,0,0
7.3,0,0
7.4,0,0
7.5,0,0
7.6,0,0
7.7,0,0
7.8,0,0
7.9,0,0
8,0,0
8.1,0,0
8.2,0,0
8.3,0,0
8.4,0,0
8.5,0,0
8.6,0,0
8.7,0,0
8.8,0,0
8.9,0,0
9,0,0
9.1,0,0
9.2,0,0
9.3,0,0
9.4,0,0
9.5,0,0
9.6,0,0
9.7,0,0
9.8,0,0
9.9,0,0
10,0,0
10.1,0,0
10.2,0,0
10.3,0,0
10.4,0,0
10.5,0,0
10.6,0,0
10.7,0,0
10.8,0,0
10.9,0,0
11,0,0
11.1,0,0
11.2,0,0
11.3,0,0
11.4,0,0
11.5,0,0
11.6,0,0
11.7,0,0
11.8,0,0
11.9,0,0
12,0,0
12.1,0,0
12.2,0,0
12.3,0,0
12.4,0,0
12.5,0,0
12.6,0,0
12.7,0,0
12.8,0,0
12.9,0,0
13,0,0
13.1,0,0
13.2,0,0
13.3,0,0
13.4,0,0
13.5,0,0
13.6,0,0
13.7,0,0
13.8,0,0
13.9,0,0
14,0,0
14.1,0,0
14.2,0,0
14.3,0,0
14.4,0,0
14.5,0,0
14.6,0,0
14.7,0,0
14.8,0,0
14.9,0,0
15,0,0
15.1,0,0
15.2,0,0
15.3,0,0
15.4,0,0
15.5,0,0
15.6,0,0
15.7,0,0
15.8,0,0
15.9,0,0
16,0,0
16.1,0,0
16.2,0,0
16.3,0,0
16.4,0,0
16.5,600,0
16.6,600,0
16.7,600,0
16.8,600,0
16.9,600,0
17,600,0
17.1,600,0
17.2,600,0
17.3,600,0
17.4,600,0
17.5,3000,0
17.6,3000,0
17.7,3000,0
17.8,3000,0
17.9,3000,0
18,3000,0
18.1,3000,0
18.2,3000,0
18.3,3000,0
18.4,3000,0
18.5,3360,12
18.6,3360,12
18.7,3360,12
18.8,3360,12
18.9,3360,12
19,3360,16
19.1,3360,16
19.2,3360,16
19.3,3360,19
19.4,3360,19
19.5,3360,19
19.6,3480,22
19.7,3480,22
19.8,3480,22
19.9,3480,24
20,3480,24
20.1,3480,26
20.2,3480,26
20.3,3480,26
20.4,3480,26
20.5,3000,26
20.6,3000,26
20.7,3000,26
20.8,3000,26
20.9,3000,26
21,3000,26
21.1,3000,26
21.2,3000,26
21.3,3000,26
21.4,3000,29
21.5,600,29
21.6,600,29
21.7,600,29
21.8,600,29
21.9,600,28
22,600,28
22.1,600,28
22.2,600,28
22.3,600,28
22.4,600,28
22.5,120,28
22.6,120,28
22.7,120,28
22.8,120,28
22.9,120,28
23,120,28
23.1,120,28
23.2,120,28
23.3,120,28
23.4,120,28
23.5,0,28
23.6,0,28
23.7,0,28
23.8,0,28
23.9,0,28
24,0,28
24.1,0,28
24.2,0,28
24.3,0,13
24.4,0,13
24.5,0,28
24.6,0,28
24.7,0,28
24.8,0,28
24.9,0,28
25,0,28
25.1,0,28
25.2,0,28
25.3,0,28
25.4,0,28
25.5,0,28
25.6,0,28
25.7,0,27
25.8,0,27
25.9,0,27
26,0,27
26.1,0,27
26.2,0,27
26.3,0,27
26.4,0,27
26.5,0,27
26.6,0,27
26.7,0,27
26.8,0,27
26.9,0,27
27,0,27
27.1,0,27
27.2,0,27
27.3,0,27
27.4,0,27
27.5,0,26
27.6,0,26
27.7,0,26
27.8,0,27
27.9,0,27
28,0,27
28.1,0,27
28.2,0,27
28.3,0,27
28.4,0,27
28.5,0,27
28.6,0,27
28.7,0,27
28.8,0,27
28.9,0,27
29,0,27
29.1,0,27
29.2,0,26
29.3,0,26
29.4,0,26
29.5,0,26
29.6,0,26
29.7,0,26
29.8,0,26
29.9,0,26
30,0,26
30.1,0,26
30.2,0,26
30.3,0,26
30.4,0,26
30.5,0,26
30.6,0,26
30.7,0,26
30.8,0,26
30.9,0,26
31,0,26
31.1,0,26
31.2,0,26
31.3,0,26
31.4,0,26
31.5,0,26
31.6,0,26
31.7,0,26
31.8,0,26
31.9,0,26
32,0,26
32.1,0,26
32.2,0,26
32.3,0,26
32.4,0,26
32.5,0,25
32.6,0,25
32.7,0,25
32.8,0,25
32.9,0,25
33,0,25
33.1,0,25
33.2,0,25
33.3,0,25
33.4,0,25
33.5,0,25
33.6,0,25
33.7,0,25
33.8,0,25
33.9,0,25
34,0,25
34.1,0,25
34.2,0,25
34.3,0,25
34.4,0,25
34.5,0,25
34.6,0,25
34.7,0,25
34.8,0,25
34.9,0,25
35,0,25
35.1,0,25
35.2,0,25
35.3,0,25
35.4,0,25
35.5,0,25
35.6,0,25
35.7,0,25
35.8,0,25
35.9,0,25
36,0,24
36.1,0,24
36.2,0,25
36.3,0,25
36.4,0,25
36.5,0,25
36.6,0,25
36.7,0,25
36.8,0,25
36.9,0,25
37,0,25
37.1,0,24
37.2,0,24
37.3,0,24
37.4,0,24
37.5,0,24
37.6,0,24
37.7,0,24
37.8,0,24
37.9,0,24
38,0,24
38.1,0,24
38.2,0,24
38.3,0,24
38.4,0,24
38.5,0,24
38.6,0,24
38.7,0,24
38.8,0,24
38.9,0,24
39,0,24
39.1,0,24
39.2,0,24
39.3,0,24
39.4,0,24
39.5,0,24
39.6,0,24
39.7,0,24
39.8,0,24
39.9,0,24
40,0,24
40.1,0,24
40.2,0,24
40.3,0,24
40.4,0,24
40.5,0,24
40.6,0,24
40.7,0,24
40.8,0,24
40.9,0,24
41,0,24
41.1,0,24
41.2,0,24
41.3,0,24
41.4,0,24
41.5,0,24
41.6,0,23
41.7,0,23
41.8,0,23
41.9,0,23
42,0,23
42.1,0,23
42.2,0,23
42.3,0,23
42.4,0,23
42.5,0,23
42.6,0,23
42.7,0,23
42.8,0,23
42.9,0,23
43,0,23
43.1,0,23
43.2,0,23
43.3,0,23
43.4,0,23
43.5,0,23
43.6,0,23
43.7,0,23
43.8,0,23
43.9,0,23
44,0,23
44.1,0,23
44.2,0,23
44.3,0,23
44.4,0,23
44.5,0,23
44.6,0,23
44.7,0,23
44.8,0,23
44.9,0,23
45,0,23
45.1,0,23
45.2,0,23
45.3,0,23
45.4,0,23
45.5,0,23
45.6,0,23
45.7,0,23
45.8,0,23
45.9,0,23
46,0,23
46.1,0,23
46.2,0,23
46.3,0,23
46.4,0,23
46.5,0,23
46.6,0,23
46.7,0,23
46.8,0,23
46.9,0,23
47,0,23
47.1,0,23
47.2,0,23
47.3,0,23
47.4,0,23
47.5,0,22
47.6,0,22
47.7,0,22
47.8,0,22
47.9,0,22
48,0,22
48.1,0,22
48.2,0,22
48.3,0,22
48.4,0,22
48.5,0,22
48.6,0,22
48.7,0,22
48.8,0,22
48.9,0,22
49,0,22
49.1,0,22
49.2,0,22
49.3,0,22
49.4,0,22
49.5,0,22
49.6,0,22
49.7,0,22
49.8,0,22
49.9,0,22
50,0,22
50.1,0,22
50.2,0,22
50.3,0,22
50.4,0,22
50.5,480,22
50.6,480,22
50.7,480,22
50.8,480,22
50.9,480,22
51,480,22
51.1,480,22
51.2,480,23
51.3,2880,23
51.4,2880,23
51.5,2880,23
51.6,2880,25
51.7,2880,25
51.8,2880,27
51.9,2880,27
52,2880,28
52.1,2880,30
52.2,2880,30
52.3,2880,30
52.4,4560,31
52.5,4560,31
52.6,4560,33
52.7,4560,33
52.8,4560,34
52.9,4560,34
53,4560,35
53.1,4560,35
53.2,4560,35
53.3,4560,35
53.4,2280,35
53.5,2280,35
53.6,2280,35
53.7,2280,35
53.8,2280,35
53.9,2280,35
54,2280,35
54.1,2280,35
54.2,2280,35
54.3,2280,35
54.4,840,35
54.5,840,35
54.6,840,35
54.7,840,35
54.8,840,35
54.9,840,35
55,840,35
55.1,840,35
55.2,840,34
55.3,840,34
55.4,0,34
55.5,0,34
55.6,0,34
55.7,0,34
55.8,0,34
55.9,0,34
56,0,34
56.1,0,34
56.2,0,34
56.3,0,34
56.4,0,34
56.5,0,34
56.6,0,34
56.7,0,34
56.8,0,34
56.9,0,34
57,0,34
57.1,0,34
57.2,0,34
57.3,0,34
57.4,0,34
57.5,0,34
57.6,0,34
57.7,0,34
57.8,0,34
57.9,0,33
58,0,33
58.1,0,33
58.2,0,33
58.3,0,33
58.4,0,33
58.5,0,33
58.6,0,33
58.7,0,33
58.8,0,33
58.9,0,33
59,0,33
59.1,0,33
59.2,0,33
59.3,0,33
59.4,0,33
59.5,0,33
59.6,0,33
59.7,0,33
59.8,0,33
59.9,0,33
60,0,33
60.1,0,33
60.2,0,33
60.3,0,33
60.4,0,32
60.5,0,32
60.6,0,32
60.7,0,32
60.8,0,32
60.9,0,32
61,0,32
61.1,0,32
61.2,0,32
61.3,0,32
61.4,0,32
61.5,0,32
61.6,0,32
61.7,0,32
61.8,0,32
61.9,0,32
62,0,32
62.1,0,32
62.2,0,32
62.3,0,32
62.4,0,32
62.5,0,32
62.6,0,32
62.7,0,32
62.8,0,32
62.9,0,32
63,0,32
63.1,0,32
63.2,0,32
63.3,0,30
63.4,0,32
63.5,0,32
63.6,0,32
63.7,0,32
63.8,0,32
63.9,0,32
64,0,32
64.1,0,31
64.2,0,31
64.3,0,31
64.4,0,31
64.5,0,31
64.6,0,31
64.7,0,31
64.8,0,31
64.9,0,31
65,0,31
65.1,0,31
65.2,0,31
65.3,0,31
65.4,0,31
65.5,0,31
65.6,0,31
65.7,0,31
65.8,0,31
65.9,0,31
66,0,31
66.1,0,31
66.2,0,31
66.3,0,31
66.4,0,31
66.5,0,31
66.6,0,31
66.7,0,31
66.8,0,31
66.9,0,31
67,0,31
67.1,0,31
67.2,0,31
